,price,barrio,superficie_construida,n_habitaciones,n_baños,lujo,dist_metro,piscina,planta_edificio,prediccion_modelo,gap,garaje,terraza,es_chalet,zonas_verdes,es_exterior
2979,420000,Pacífico,96,2,2,No,Yes,Yes,3,587049,167049,Yes,Yes,No,No,Yes
870,345000,Ríos Rosas,88,4,2,No,Yes,No,1,510776,165776,No,No,No,No,Yes
9564,205000,Peña Grande,74,2,1,No,Yes,No,0,370407,165407,No,No,No,No,Yes
8926,205000,Casco Histórico de Vicálvaro,85,3,1,No,Yes,No,0,369464,164464,Yes,Yes,No,No,Yes
11394,175000,Palos de Moguer,41,1,1,No,Yes,No,3,339039,164039,No,No,No,No,No
11347,165000,La Chopera,41,2,1,No,Yes,No,3,328815,163815,No,No,No,No,No
10719,227000,Aeropuerto,55,1,1,No,Yes,Yes,0,390129,163129,Yes,No,No,No,Yes
5975,282000,Comillas,98,3,1,No,Yes,No,3,445089,163089,No,No,No,No,Yes
1655,390000,Sol,86,1,1,No,Yes,No,3,552796,162796,No,No,No,No,Yes
9746,750000,El Viso,154,3,2,No,Yes,No,2,912354,162354,Yes,No,No,No,Yes
4611,169000,Embajadores,40,1,1,No,Yes,No,3,331269,162269,No,No,No,No,No
5335,450000,Hispanoamérica,96,2,2,No,Yes,No,3,611369,161369,Yes,Yes,No,No,No
959,633100,Gaztambide,100,2,2,Yes,Yes,No,2,790784,157684,No,No,No,No,Yes
4438,360000,Sol,51,1,1,No,Yes,No,2,516556,156556,No,No,No,No,Yes
2264,740000,Castellana,102,2,2,Yes,Yes,No,2,896242,156242,No,No,No,No,Yes
1055,555490,Vallehermoso,87,2,2,Yes,Yes,No,2,710271,154781,No,Yes,No,No,Yes
8716,279000,Palomeras Sureste,103,3,2,No,Yes,Yes,2,430622,151622,Yes,Yes,No,No,Yes
11493,210000,Palos de Moguer,47,1,1,No,Yes,No,4,361120,151120,No,No,No,No,No
7078,1400000,Ciudad Universitaria,305,5,4,Yes,No,Yes,3,1550000,150000,Yes,No,No,No,Yes
11313,299000,Delicias,72,1,1,No,Yes,Yes,5,446290,147290,No,No,No,No,Yes
4909,259000,Cortes,45,1,1,No,Yes,No,1,405914,146914,No,No,No,No,No
1908,215000,Imperial,65,3,1,No,Yes,No,2,361705,146705,No,No,No,No,Yes
2057,163000,Embajadores,34,1,1,No,Yes,No,1,309453,146453,No,No,No,No,Yes
3835,460000,Trafalgar,93,2,1,Yes,Yes,No,2,604453,144453,No,Yes,No,No,Yes
12014,185500,Casco Histórico de Vallecas,54,1,1,No,Yes,No,0,329851,144351,No,No,No,No,No
2061,265900,Embajadores,51,2,1,No,Yes,No,2,410127,144227,No,No,No,No,No
6334,439000,Castillejos,118,3,1,No,Yes,No,1,582377,143377,No,No,No,No,Yes
5627,175000,Ventas,68,3,1,No,Yes,No,3,317955,142955,No,No,No,No,Yes
3079,483700,Argüelles,56,1,1,Yes,Yes,Yes,5,625602,141902,No,Yes,No,No,Yes
4080,169000,Puerta del Ángel,71,2,1,No,Yes,No,0,310830,141830,No,No,No,No,Yes
1005,688740,Gaztambide,117,2,2,No,Yes,No,1,830066,141326,Yes,No,No,No,Yes
2323,640000,Goya,58,1,1,No,Yes,Yes,0,781089,141089,No,Yes,No,No,Yes
8580,195000,Media Legua,79,3,1,No,Yes,No,3,335971,140971,Yes,No,No,No,Yes
2645,1890000,Castellana,326,5,4,No,Yes,No,1,2030000,140000,Yes,Yes,No,No,Yes
2676,1150000,Castellana,192,4,2,No,Yes,No,4,1290000,140000,Yes,Yes,No,No,No
2140,447000,Embajadores,108,2,2,No,Yes,No,2,586882,139882,No,Yes,No,No,Yes
5527,169900,Ventas,68,2,1,No,Yes,No,1,308957,139057,No,Yes,No,No,Yes
4114,230000,Los Cármenes,58,1,1,No,Yes,No,3,368842,138842,No,Yes,No,No,Yes
1935,269900,Embajadores,51,2,1,No,Yes,No,2,407711,137811,No,No,No,No,No
10264,187000,Bellas Vistas,45,1,1,No,Yes,No,0,324262,137262,No,No,No,No,No
9024,260000,Pinar del Rey,86,3,1,No,Yes,No,2,396100,136100,No,No,No,No,Yes
6083,339000,Moscardó,118,3,2,No,Yes,No,2,474602,135602,No,No,No,No,Yes
6985,1450000,El Plantío,326,5,5,Yes,No,Yes,0,1585000,135000,Yes,Yes,Yes,Yes,No
2542,745000,El Viso,120,3,2,Yes,Yes,No,3,878709,133709,No,Yes,No,No,Yes
6144,255000,Opañel,103,3,2,No,Yes,No,11,388415,133415,No,Yes,No,No,No
11668,157000,Los Cármenes,95,3,1,No,Yes,No,3,290213,133213,No,Yes,No,No,Yes
5615,158000,Pueblo Nuevo,70,3,1,No,Yes,No,1,290981,132981,No,No,No,No,Yes
8696,225000,Casco Histórico de Vallecas,132,3,1,No,Yes,No,2,357944,132944,No,Yes,No,No,Yes
6023,199000,San Isidro,80,3,2,No,Yes,No,3,331499,132499,No,Yes,No,No,Yes
10454,174000,Los Ángeles,105,4,2,No,Yes,No,4,305853,131853,No,Yes,No,No,Yes
9082,235000,Pinar del Rey,85,3,1,No,Yes,No,3,366561,131561,No,Yes,No,No,Yes
10447,185000,Pradolongo,130,4,2,No,No,No,6,315332,130332,No,No,No,No,Yes
7608,179000,Almendrales,88,3,2,No,Yes,No,3,309045,130045,No,Yes,No,No,Yes
1940,1690000,Palacio,320,1,3,Yes,Yes,No,0,1820000,130000,No,No,No,No,Yes
9960,269900,Arcos,110,3,2,No,Yes,No,2,398825,128925,No,Yes,No,No,Yes
10443,142000,Orcasitas,99,4,2,No,No,No,5,270863,128863,No,No,No,No,Yes
11623,249000,Aluche,97,1,1,No,Yes,No,0,377728,128728,Yes,No,No,No,Yes
5553,164000,Ventas,60,3,1,No,Yes,No,3,292343,128343,No,No,No,No,No
4508,650000,Cortes,115,3,3,Yes,Yes,No,1,777695,127695,No,Yes,No,No,Yes
5554,158000,Ventas,60,3,1,No,Yes,No,3,284517,126517,No,No,No,No,Yes
2220,232100,Las Acacias,58,2,1,No,Yes,No,1,358309,126209,No,No,No,No,No
1596,259000,Justicia,36,0,1,No,Yes,No,3,384164,125164,No,No,No,No,No
3560,395000,Goya,45,2,2,No,Yes,No,3,519424,124424,No,No,No,No,No
5549,145000,Ventas,53,2,1,No,Yes,No,1,269402,124402,No,No,No,No,Yes
11281,169000,Palos de Moguer,50,1,1,No,Yes,No,0,291438,122438,No,No,No,No,No
2642,675000,Guindalera,85,3,3,No,Yes,No,3,797082,122082,No,No,No,No,Yes
12316,145000,San Diego,78,3,1,No,Yes,No,0,264105,119105,No,No,Yes,No,No
3449,218000,Fuente del Berro,45,2,1,No,Yes,No,0,337063,119063,No,No,No,No,No
11257,169000,Buenavista,84,3,1,No,Yes,No,3,288062,119062,No,Yes,No,No,Yes
11159,170000,Canillas,72,3,1,No,Yes,No,4,288813,118813,No,No,No,No,Yes
3805,190000,Trafalgar,30,1,1,No,Yes,No,3,307727,117727,No,No,No,No,No
11203,125000,Buenavista,65,2,1,No,Yes,No,1,242633,117633,No,Yes,No,No,Yes
5540,180000,Ventas,62,2,1,No,Yes,No,-1,297429,117429,No,No,No,No,Yes
4607,595000,Cortes,99,2,2,Yes,Yes,No,2,711260,116260,No,No,No,No,Yes
5813,170000,Palomeras Bajas,99,3,1,No,Yes,No,1,285996,115996,No,No,No,No,Yes
11205,119500,Las Águilas,65,3,1,No,No,No,3,234978,115478,No,Yes,No,No,Yes
7419,124000,Puerta Bonita,52,3,1,No,Yes,No,0,238591,114591,No,No,No,No,Yes
2126,230000,Embajadores,65,3,1,No,Yes,No,1,344003,114003,No,No,No,No,Yes
7641,152000,Pradolongo,62,3,1,No,Yes,No,4,265590,113590,No,Yes,No,No,No
7203,165000,Casa de Campo,74,3,1,No,Yes,No,5,278238,113238,No,No,No,No,Yes
6779,156000,Rejas,46,1,1,No,No,Yes,2,268954,112954,Yes,No,No,No,Yes
4883,250000,Embajadores,71,0,1,No,Yes,No,4,361066,111066,No,No,No,No,No
7755,130000,Moscardó,59,2,1,No,Yes,No,2,240927,110927,No,No,No,No,Yes
10214,145000,Berruguete,38,1,1,No,Yes,No,1,254822,109822,No,No,No,No,Yes
2218,192100,Las Acacias,57,3,1,No,Yes,No,4,300502,108402,No,No,No,No,No
11663,169900,Aluche,77,2,1,No,Yes,No,4,277422,107522,No,Yes,No,No,Yes
7293,115000,San Isidro,49,2,1,No,Yes,No,1,222469,107469,No,No,No,No,Yes
760,475000,Prosperidad,70,2,1,Yes,Yes,No,5,581492,106492,No,Yes,No,No,Yes
3027,145000,Casa de Campo,55,2,1,No,Yes,No,-1,251456,106456,No,No,No,No,No
12382,290000,Cuatro Vientos,103,2,2,No,No,Yes,1,396112,106112,Yes,No,No,No,Yes
16,775000,Recoletos,68,1,1,Yes,Yes,No,2,880870,105870,No,No,No,No,Yes
1186,399000,Universidad,70,1,1,No,Yes,No,2,504250,105250,No,No,No,No,Yes
634,275000,Prosperidad,46,1,1,No,Yes,No,4,380148,105148,No,Yes,No,No,Yes
7624,129000,Zofío,64,3,1,No,Yes,No,2,234099,105099,No,No,No,No,Yes
6527,125000,San Cristóbal,80,3,1,No,Yes,No,6,229841,104841,No,No,No,No,Yes
4176,153000,Puerta del Ángel,66,3,1,No,Yes,No,0,257750,104750,No,No,No,No,No
10236,189000,Bellas Vistas,56,2,1,No,Yes,No,1,293226,104226,No,No,No,No,Yes
10933,120000,Canillas,32,1,1,No,Yes,No,0,224114,104114,No,No,No,No,Yes
7597,125000,Pradolongo,70,3,1,No,Yes,No,2,228125,103125,No,Yes,No,No,Yes
5757,200000,Quintana,76,3,1,No,Yes,No,1,302600,102600,No,No,No,No,Yes
4773,212000,Sol,44,0,1,No,Yes,No,3,313897,101897,No,No,No,No,No
6624,130000,Butarque,74,3,1,No,Yes,No,0,231445,101445,No,No,No,No,No
10200,159000,Berruguete,51,2,1,No,Yes,No,3,260382,101382,No,No,No,No,Yes
7455,124900,Puerta Bonita,70,3,1,No,Yes,No,3,226113,101213,No,Yes,No,No,Yes
4058,160000,Puerta del Ángel,65,3,1,No,Yes,No,1,261033,101033,No,No,No,No,Yes
8902,162000,Casco Histórico de Vicálvaro,77,3,1,No,Yes,No,1,262240,100240,No,Yes,No,No,Yes
764,1500000,El Viso,234,4,4,No,Yes,No,2,1600000,100000,Yes,No,No,No,Yes
7392,142000,Puerta Bonita,64,3,1,No,Yes,No,4,241101,99101,No,Yes,No,No,Yes
6521,128000,Los Rosales,71,3,1,No,Yes,No,1,227082,99082,No,Yes,No,No,Yes
6599,217033,Butarque,103,3,2,No,No,Yes,1,316101,99068,Yes,Yes,No,No,Yes
6065,180000,San Isidro,58,2,1,No,Yes,No,0,278983,98983,No,No,Yes,No,No
1635,169000,Universidad,56,0,1,No,Yes,No,0,267056,98056,No,No,No,No,Yes
8851,167300,Casco Histórico de Vicálvaro,50,1,1,No,Yes,No,1,265047,97747,No,No,No,No,Yes
3846,295000,Trafalgar,62,1,1,No,Yes,No,0,392292,97292,No,Yes,No,No,No
7609,133000,Zofío,52,2,1,No,Yes,No,3,229692,96692,No,No,No,No,Yes
8881,104000,Ambroz,51,2,1,No,Yes,No,1,199865,95865,No,Yes,No,No,Yes
7451,117000,Puerta Bonita,60,1,1,No,Yes,No,0,212859,95859,No,Yes,No,No,Yes
11494,149000,La Chopera,41,0,1,No,Yes,No,1,244577,95577,No,No,No,No,No
9596,227000,Valdezarza,89,3,1,No,Yes,No,1,322067,95067,No,Yes,No,No,Yes
5595,175000,Pueblo Nuevo,83,3,1,No,Yes,No,1,269027,94027,No,Yes,No,No,Yes
7629,129000,Moscardó,65,3,1,No,Yes,No,6,222243,93243,No,Yes,No,No,Yes
7234,185000,Aluche,80,4,1,No,Yes,No,0,277666,92666,No,No,No,No,Yes
8759,110000,Santa Eugenia,63,3,1,No,Yes,No,0,202592,92592,No,No,No,No,No
7346,136000,Abrantes,66,3,1,No,Yes,No,3,228000,92000,No,Yes,No,No,Yes
11223,109000,Las Águilas,69,3,1,No,Yes,No,0,200695,91695,No,No,No,No,Yes
8403,180000,Almenara,56,1,1,No,Yes,No,1,271185,91185,No,No,No,No,Yes
5819,138000,Palomeras Bajas,78,3,1,No,Yes,No,2,228699,90699,No,Yes,No,No,Yes
250,1300000,Castellana,227,4,4,Yes,Yes,No,1,1390000,90000,No,Yes,No,No,Yes
9006,189000,Pinar del Rey,52,2,1,No,Yes,No,5,278947,89947,No,No,No,No,Yes
7447,135000,Abrantes,70,3,1,No,Yes,No,3,224627,89627,No,Yes,No,No,Yes
8739,182400,Casco Histórico de Vallecas,116,3,2,No,Yes,No,0,271464,89064,No,Yes,No,No,Yes
8848,168000,Casco Histórico de Vicálvaro,77,3,2,No,Yes,No,1,256808,88808,No,No,No,No,Yes
6329,360000,Cuatro Caminos,96,4,2,No,Yes,No,0,448115,88115,No,No,No,No,Yes
8844,125500,Casco Histórico de Vicálvaro,60,2,1,No,Yes,No,1,213397,87897,No,No,No,No,No
10602,107000,San Fermín,65,2,1,No,Yes,No,0,193707,86707,No,No,No,No,No
8355,159000,Peña Grande,55,2,1,No,Yes,No,0,244784,85784,No,No,No,No,Yes
7467,92000,Puerta Bonita,48,2,1,No,Yes,No,0,177406,85406,No,No,No,No,Yes
7446,131000,Vista Alegre,65,3,1,No,Yes,No,4,215475,84475,No,No,No,No,No
819,720000,Almagro,115,2,2,Yes,Yes,No,4,803758,83758,No,Yes,No,No,Yes
2906,456490,Pacífico,94,2,2,No,Yes,No,5,539702,83212,No,No,No,No,No
2113,113000,Las Acacias,29,1,1,No,Yes,No,0,195983,82983,No,No,No,No,No
11479,370000,Delicias,113,4,2,No,Yes,No,1,452626,82626,No,Yes,No,No,Yes
5558,279000,Pueblo Nuevo,70,2,1,No,Yes,No,3,361521,82521,Yes,No,No,No,Yes
11973,272049,Casco Histórico de Vallecas,105,3,2,No,Yes,Yes,0,354408,82359,Yes,Yes,No,Yes,Yes
7438,134000,Abrantes,89,3,1,No,Yes,No,-1,216221,82221,No,No,No,No,Yes
10931,350000,Canillas,122,3,1,No,Yes,No,2,431947,81947,Yes,Yes,No,No,Yes
1795,295000,Justicia,56,0,1,No,Yes,No,4,376622,81622,No,No,No,No,Yes
3263,875000,Recoletos,144,2,3,Yes,Yes,No,5,956469,81469,No,Yes,No,No,Yes
8809,97000,Ambroz,52,2,1,No,Yes,No,0,178342,81342,No,Yes,No,No,Yes
4973,490000,Pacífico,127,3,2,No,Yes,No,3,570850,80850,No,No,No,No,Yes
5985,185000,Comillas,70,2,1,No,Yes,No,1,265826,80826,No,No,No,No,No
6622,106500,San Andrés,64,2,1,No,Yes,No,0,187234,80734,No,No,No,No,No
6651,103000,San Andrés,67,3,1,No,Yes,No,0,183732,80732,No,No,No,No,No
1418,1045000,Justicia,146,4,3,Yes,Yes,No,2,1125000,80000,No,No,No,No,Yes
8766,118500,Casco Histórico de Vallecas,52,2,1,No,Yes,No,3,198388,79888,No,No,No,No,Yes
11643,169000,Lucero,76,3,1,No,Yes,No,0,248055,79055,No,No,No,No,Yes
4067,150000,Puerta del Ángel,72,3,1,No,Yes,No,1,227175,77175,No,Yes,No,No,Yes
10120,120000,Palomeras Sureste,64,2,1,No,Yes,No,1,197163,77163,No,Yes,No,No,Yes
8879,129000,Casco Histórico de Vicálvaro,63,3,1,No,Yes,No,2,206004,77004,No,No,No,No,Yes
6654,80000,Butarque,61,3,1,No,Yes,No,1,156985,76985,No,Yes,No,No,Yes
8772,340000,Palomeras Sureste,118,3,2,No,Yes,Yes,8,416664,76664,No,Yes,No,No,Yes
7480,152000,Abrantes,90,3,1,No,Yes,No,4,228547,76547,No,Yes,No,No,Yes
11335,148000,Delicias,44,2,1,No,Yes,No,2,224213,76213,No,No,No,No,No
12356,169000,Buenavista,48,1,1,No,Yes,No,3,244981,75981,No,Yes,No,No,Yes
8910,129500,Ambroz,62,3,1,No,Yes,No,1,205417,75917,No,Yes,No,No,Yes
7800,110000,Almendrales,60,3,1,No,Yes,No,2,185743,75743,No,No,No,No,Yes
7384,136000,Vista Alegre,64,3,1,No,Yes,No,3,211720,75720,No,Yes,No,No,Yes
2099,215000,Palacio,64,1,1,No,Yes,No,0,290651,75651,No,No,No,No,Yes
10559,75500,Los Rosales,39,1,1,No,Yes,No,0,150285,74785,No,No,No,No,Yes
5984,106000,Opañel,53,2,1,No,Yes,No,4,180467,74467,No,No,No,No,Yes
10599,99000,Los Rosales,55,2,1,No,Yes,No,4,173225,74225,No,Yes,No,No,Yes
1292,430000,Trafalgar,68,2,1,No,Yes,No,4,503346,73346,No,No,No,No,No
7551,80000,Vista Alegre,60,4,2,No,Yes,No,0,153223,73223,No,Yes,No,No,Yes
6664,91000,San Cristóbal,62,3,1,No,Yes,No,1,163721,72721,No,No,No,No,Yes
1382,535000,Palacio,80,2,1,Yes,Yes,No,4,607447,72447,No,No,No,No,Yes
7121,265000,Valdemarín,58,1,1,No,No,Yes,1,337039,72039,No,No,No,No,Yes
5622,180000,Pueblo Nuevo,139,1,1,No,Yes,No,0,251465,71465,No,No,No,No,Yes
5973,295000,San Isidro,85,3,2,No,Yes,No,2,365905,70905,No,Yes,No,No,Yes
11688,209000,Aluche,80,3,1,No,Yes,No,3,279714,70714,Yes,Yes,No,No,Yes
2890,450000,Ibiza,121,4,2,No,Yes,No,1,519596,69596,No,No,No,No,No
6490,122900,Los Ángeles,92,3,2,No,Yes,No,2,192076,69176,No,Yes,No,No,Yes
6497,123794,San Andrés,62,1,1,No,Yes,No,2,192463,68669,Yes,No,No,No,Yes
4452,160000,Embajadores,43,0,1,No,Yes,No,3,227655,67655,No,No,No,No,Yes
7347,198998,Vista Alegre,78,2,1,No,Yes,No,1,266274,67276,No,Yes,No,No,Yes
8893,135000,Ambroz,65,3,1,No,Yes,No,3,201851,66851,No,Yes,No,No,Yes
6062,135000,Comillas,66,3,1,No,Yes,No,3,201808,66808,No,No,No,No,Yes
10533,126000,Los Ángeles,77,3,1,No,Yes,No,3,192741,66741,No,Yes,No,No,Yes
4069,180000,Puerta del Ángel,80,3,1,No,Yes,No,3,246322,66322,No,Yes,No,No,Yes
6711,86000,San Andrés,52,1,1,No,Yes,No,0,152246,66246,No,No,No,No,No
6663,94900,San Cristóbal,73,3,1,No,Yes,No,2,161019,66119,No,Yes,No,No,Yes
10217,149995,Bellas Vistas,55,3,1,No,Yes,No,3,216078,66083,No,No,No,No,No
1249,560000,Universidad,129,4,2,No,Yes,No,1,625964,65964,No,No,No,No,Yes
7568,160000,Abrantes,73,3,1,No,Yes,No,0,225933,65933,No,No,No,No,Yes
7365,250000,Puerta Bonita,102,3,2,No,Yes,Yes,3,314375,64375,No,Yes,No,No,Yes
10330,229000,Berruguete,61,1,1,No,Yes,No,2,293041,64041,No,No,No,No,No
4345,665000,Embajadores,181,3,2,Yes,Yes,No,2,728935,63935,No,No,No,No,Yes
9502,164000,Peña Grande,72,3,1,No,Yes,No,2,227126,63126,No,Yes,No,No,Yes
5162,145000,Gaztambide,40,1,1,No,Yes,No,0,207186,62186,No,No,No,No,Yes
7730,87000,Pradolongo,40,2,1,No,Yes,No,0,148993,61993,No,No,No,No,No
6045,140000,Opañel,60,2,1,No,Yes,No,0,201661,61661,No,No,No,No,Yes
7495,146500,Vista Alegre,67,2,1,No,Yes,No,0,207678,61178,No,No,No,No,No
5602,239500,Pueblo Nuevo,98,3,1,No,Yes,No,6,300549,61049,No,Yes,No,No,Yes
6489,99900,Los Rosales,68,2,1,No,Yes,No,1,160450,60550,No,Yes,No,No,No
4061,199000,Lucero,92,3,1,No,Yes,No,2,259500,60500,No,No,No,No,Yes
9053,198000,Pinar del Rey,72,3,1,No,Yes,No,2,257968,59968,No,Yes,No,No,Yes
7636,235900,La Chopera,70,2,1,No,Yes,No,2,295750,59850,No,No,No,No,No
6678,78900,Los Rosales,63,3,1,No,Yes,No,0,138191,59291,No,No,No,No,Yes
4181,258000,Puerta del Ángel,55,1,1,No,Yes,No,2,317155,59155,No,Yes,No,No,Yes
7395,129950,Abrantes,72,3,1,No,Yes,No,4,188877,58927,No,Yes,No,No,Yes
5879,140000,Palomeras Sureste,81,2,1,No,Yes,No,5,198736,58736,No,No,No,No,Yes
9105,220000,Valdefuentes,82,2,1,No,Yes,No,0,278622,58622,No,Yes,No,No,Yes
6167,134000,Opañel,55,2,1,No,Yes,No,3,191649,57649,No,No,No,No,No
8978,155000,Pinar del Rey,56,2,1,No,Yes,No,4,211911,56911,No,No,No,No,Yes
10667,549000,Alameda de Osuna,121,3,2,Yes,Yes,Yes,4,605069,56069,Yes,No,No,No,Yes
5145,360000,Gaztambide,71,1,1,No,Yes,No,4,416044,56044,No,No,No,No,No
7219,249900,Las Águilas,141,3,2,No,Yes,No,6,305852,55952,Yes,No,No,No,Yes
7537,130000,Vista Alegre,62,2,1,No,Yes,No,1,185195,55195,No,No,No,No,Yes
11375,337000,La Chopera,104,3,1,No,Yes,No,1,391971,54971,No,Yes,No,No,Yes
8992,249000,Pinar del Rey,79,2,1,No,Yes,No,0,303375,54375,No,No,No,No,Yes
7492,119000,Vista Alegre,70,3,2,No,Yes,No,0,172520,53520,No,Yes,No,No,No
2736,740000,Castellana,108,2,2,No,Yes,No,3,793358,53358,No,No,No,No,Yes
4269,135000,Embajadores,33,1,1,No,Yes,No,1,187784,52784,No,No,No,No,No
3532,660000,Goya,125,2,2,No,Yes,No,1,712334,52334,No,No,No,No,Yes
2124,215270,Las Acacias,47,0,1,No,Yes,No,2,267348,52078,No,No,No,No,Yes
6438,135000,Cuatro Caminos,24,0,1,No,Yes,No,3,187071,52071,No,No,No,No,Yes
8392,179000,Peña Grande,60,1,1,No,Yes,No,10,230884,51884,No,No,No,No,Yes
6671,88000,San Andrés,56,2,1,No,Yes,No,0,139876,51876,No,No,No,No,Yes
8627,122000,Pavones,64,3,1,No,Yes,No,3,173498,51498,No,No,No,No,Yes
6530,160000,San Andrés,94,3,1,No,Yes,No,2,211432,51432,No,No,No,No,Yes
8905,149000,Casco Histórico de Vicálvaro,67,3,1,No,Yes,No,0,200384,51384,No,No,No,No,Yes
4578,198000,Embajadores,63,1,1,No,Yes,No,1,249184,51184,No,No,No,No,Yes
5695,139990,Pueblo Nuevo,66,2,1,No,Yes,No,4,191142,51152,No,Yes,No,No,Yes
1069,1599000,Almagro,172,2,3,Yes,Yes,No,2,1650000,51000,No,No,No,No,Yes
7230,229900,Campamento,77,2,1,No,Yes,No,1,280759,50859,No,No,No,No,Yes
6618,134000,San Andrés,95,3,1,No,Yes,No,0,184827,50827,No,No,No,No,No
7470,170000,Vista Alegre,65,2,1,No,Yes,No,2,220809,50809,No,Yes,No,No,No
6552,122500,San Cristóbal,99,3,2,No,Yes,No,4,173198,50698,No,No,No,No,Yes
970,590000,Ríos Rosas,109,3,2,No,Yes,No,1,640613,50613,No,No,No,No,Yes
8464,239000,Valdeacederas,86,2,1,No,Yes,No,0,288885,49885,No,No,No,No,Yes
10474,163000,Orcasitas,103,3,2,No,No,No,2,212678,49678,No,Yes,No,No,Yes
6493,86000,Butarque,51,2,1,No,No,No,2,135656,49656,No,Yes,No,No,No
5399,423000,Hispanoamérica,97,3,1,No,Yes,No,2,472606,49606,No,Yes,No,No,No
1806,198000,Universidad,36,1,1,No,Yes,No,2,247399,49399,No,No,No,No,No
5709,169000,Ventas,74,3,1,No,Yes,No,4,217973,48973,Yes,Yes,No,No,Yes
6576,120000,Los Rosales,73,3,1,No,Yes,No,1,167914,47914,No,No,No,No,No
11197,195000,Cuatro Vientos,85,3,1,No,No,No,3,242571,47571,No,No,No,No,Yes
5572,280000,Ventas,88,3,1,No,Yes,No,1,327456,47456,No,No,No,No,Yes
9263,150000,La Paz,60,1,1,No,Yes,No,-1,197425,47425,No,No,No,No,Yes
4268,285000,Embajadores,76,3,1,No,Yes,No,1,332088,47088,No,No,No,No,Yes
6814,139900,Rejas,62,1,1,No,No,Yes,2,186739,46839,No,No,No,No,Yes
7217,115000,Campamento,65,2,1,No,Yes,No,2,161539,46539,No,Yes,No,No,Yes
5522,156900,Ventas,88,3,1,No,Yes,No,4,203431,46531,No,No,No,No,Yes
5965,170000,Comillas,85,4,1,No,Yes,No,4,216393,46393,No,Yes,No,No,Yes
7385,123000,Abrantes,65,2,1,No,Yes,No,3,169130,46130,No,Yes,No,No,Yes
6540,125000,San Andrés,80,3,2,No,Yes,No,2,170931,45931,No,Yes,No,No,Yes
6451,157000,Berruguete,36,1,1,No,Yes,No,1,202922,45922,No,No,No,No,No
8824,107500,Casco Histórico de Vicálvaro,63,2,1,No,Yes,No,0,153106,45606,No,Yes,No,No,No
5678,146000,Pueblo Nuevo,57,2,1,No,Yes,No,3,191600,45600,No,Yes,No,No,Yes
7288,110890,Puerta Bonita,60,2,1,No,Yes,No,2,155655,44765,No,No,No,No,No
2930,790000,Pacífico,225,4,2,Yes,Yes,Yes,5,834763,44763,No,Yes,No,No,Yes
11336,210000,Palos de Moguer,50,2,1,No,Yes,No,4,254629,44629,No,No,No,No,No
9043,160000,Pinar del Rey,60,2,1,No,Yes,No,3,204625,44625,No,Yes,No,No,Yes
7311,118000,Puerta Bonita,64,2,1,No,Yes,No,4,162510,44510,No,Yes,No,No,Yes
7752,172000,Moscardó,91,3,1,No,Yes,No,1,215265,43265,No,No,No,No,Yes
7779,94000,Zofío,56,2,1,No,Yes,No,0,136881,42881,No,No,No,No,Yes
7722,90000,Almendrales,45,2,1,No,Yes,No,0,132825,42825,No,No,No,No,Yes
11258,149000,Buenavista,81,3,1,No,Yes,No,2,191608,42608,No,No,No,No,Yes
6413,130000,Cuatro Caminos,57,0,1,No,Yes,No,0,172075,42075,No,No,No,No,Yes
10299,117500,Bellas Vistas,43,2,1,No,Yes,No,2,159562,42062,No,No,No,No,No
5168,590000,Gaztambide,130,3,2,Yes,Yes,No,1,631678,41678,No,No,No,No,Yes
6690,115500,San Andrés,76,3,1,No,Yes,No,0,156953,41453,No,No,No,No,No
11143,135000,Pinar del Rey,50,3,1,No,Yes,No,0,176252,41252,No,No,No,No,Yes
10477,119900,Los Ángeles,58,2,1,No,Yes,No,0,161099,41199,No,No,No,No,Yes
7340,108000,Puerta Bonita,56,3,1,No,Yes,No,1,149038,41038,No,No,No,No,Yes
9286,154260,Valverde,70,2,1,No,Yes,No,4,195042,40782,No,No,No,No,Yes
7335,126000,Opañel,53,2,2,No,Yes,No,3,166652,40652,No,No,No,No,Yes
4443,165000,Embajadores,46,1,1,No,Yes,No,3,205562,40562,No,No,No,No,No
7759,110000,Pradolongo,56,2,1,No,Yes,No,3,150201,40201,No,Yes,No,No,Yes
10269,180000,Berruguete,54,1,1,No,Yes,No,1,219763,39763,No,No,No,No,Yes
1045,510000,Gaztambide,107,4,1,No,Yes,No,2,549179,39179,No,No,No,No,Yes
1636,207000,Universidad,59,1,1,No,Yes,No,0,245500,38500,No,No,No,No,Yes
6558,92000,Los Rosales,61,2,1,No,Yes,No,2,129849,37849,No,Yes,No,No,Yes
11146,215000,Piovera,67,3,1,No,Yes,No,4,252707,37707,No,Yes,No,No,Yes
8911,150000,Casco Histórico de Vicálvaro,70,3,1,No,Yes,No,2,187603,37603,No,Yes,No,No,Yes
8913,139000,Ambroz,60,2,1,No,Yes,No,2,174175,35175,No,Yes,No,No,Yes
11517,150000,Palos de Moguer,46,2,1,No,Yes,No,0,185138,35138,No,No,No,No,No
1589,295000,Universidad,38,1,1,No,Yes,No,1,330101,35101,Yes,No,No,No,Yes
7386,151800,Vista Alegre,72,3,1,No,Yes,No,2,186824,35024,No,Yes,No,No,Yes
5197,345000,Universidad,63,1,1,No,Yes,No,2,379980,34980,No,Yes,No,No,No
8866,191800,Casco Histórico de Vicálvaro,55,2,1,No,Yes,No,2,226589,34789,No,No,No,No,Yes
