,price,barrio,superficie_construida,n_habitaciones,n_baños,lujo,dist_metro,piscina,planta_edificio,prediccion_modelo,gap,garaje,terraza,es_chalet,zonas_verdes,es_exterior
8977,180000,Costillares,74,3,1,No,Yes,No,11,190615,10615,No,No,No,No,Yes
11316,280000,Palos de Moguer,90,3,1,No,Yes,No,5,290615,10615,No,No,No,No,No
11116,270000,Pinar del Rey,89,3,1,No,Yes,No,7,280474,10474,No,Yes,No,No,Yes
10548,165000,San Fermín,108,5,2,No,Yes,No,2,175261,10261,No,Yes,No,No,Yes
11229,128000,Buenavista,63,3,1,No,Yes,No,0,138018,10018,No,Yes,No,No,Yes
5526,175000,Pueblo Nuevo,68,3,1,No,Yes,No,1,184798,9798,No,No,No,No,Yes
7307,162000,Vista Alegre,83,2,1,No,Yes,No,1,171529,9529,No,Yes,No,No,Yes
2944,435000,Fuente del Berro,95,2,1,No,Yes,No,2,444279,9279,No,No,No,No,Yes
12340,144000,Entrevías,95,3,1,No,No,No,0,153080,9080,No,No,No,No,No
4985,300000,Cortes,60,2,1,No,Yes,No,3,309054,9054,Yes,No,No,No,Yes
8539,139000,Marroquina,54,2,1,No,Yes,No,4,147589,8589,No,No,No,No,Yes
91,692890,Castellana,96,2,2,No,Yes,No,3,701282,8392,No,No,No,No,No
8640,235000,Santa Eugenia,90,3,2,No,Yes,No,6,243175,8175,Yes,No,No,No,Yes
976,420000,Bellas Vistas,84,2,1,No,Yes,No,2,428136,8136,No,No,No,No,No
6528,94990,San Cristóbal,75,2,1,No,Yes,No,3,102661,7671,No,Yes,No,No,Yes
10510,110000,Orcasur,75,4,1,No,Yes,No,5,117406,7406,No,No,No,No,No
11174,135000,Las Águilas,51,2,1,No,Yes,No,0,142248,7248,No,No,No,No,Yes
7503,128000,Abrantes,78,3,2,No,Yes,No,3,134886,6886,No,Yes,No,No,Yes
7561,119000,Puerta Bonita,55,2,1,No,Yes,No,2,125479,6479,No,Yes,No,No,Yes
7353,130000,Puerta Bonita,67,2,1,No,Yes,No,2,135885,5885,No,No,No,No,Yes
5307,158000,Universidad,29,0,1,No,Yes,No,4,163444,5444,No,No,No,No,Yes
6643,118000,San Andrés,68,3,1,No,Yes,No,4,123108,5108,No,No,No,No,No
2469,300000,Lista,60,1,1,No,Yes,No,0,305077,5077,No,Yes,No,No,Yes
6053,219000,Comillas,103,3,1,No,Yes,No,1,223857,4857,No,Yes,No,No,Yes
8675,150000,Casco Histórico de Vallecas,116,3,1,No,Yes,No,0,154752,4752,No,Yes,No,No,Yes
10539,123000,Los Ángeles,66,3,1,No,Yes,No,2,127289,4289,No,No,No,No,Yes
7726,121000,Pradolongo,60,3,1,No,Yes,No,3,125165,4165,No,No,No,No,Yes
5507,139900,Pueblo Nuevo,54,2,1,No,Yes,No,0,144050,4150,No,No,No,No,Yes
6340,165000,Valdezarza,58,2,1,No,Yes,No,2,168913,3913,No,Yes,No,No,Yes
7876,135000,San Pascual,46,1,1,No,Yes,No,3,138898,3898,No,Yes,No,No,Yes
10997,154000,Pinar del Rey,54,3,1,No,Yes,No,4,157813,3813,No,No,No,No,Yes
2253,685000,Las Acacias,117,3,2,Yes,Yes,Yes,4,688776,3776,Yes,No,No,No,Yes
7510,154900,Vista Alegre,82,3,1,No,Yes,No,2,158553,3653,No,Yes,No,No,Yes
11218,102500,Puerta Bonita,54,2,1,No,Yes,No,3,105972,3472,No,Yes,No,No,Yes
5713,139000,Ventas,65,2,1,No,Yes,No,-1,142423,3423,No,No,No,No,Yes
7048,399000,Aravaca,95,2,1,No,No,No,1,402382,3382,Yes,Yes,No,No,Yes
8429,199000,Valdeacederas,58,2,1,No,Yes,No,1,202146,3146,No,No,No,No,Yes
745,875000,El Viso,150,3,3,No,Yes,No,4,878109,3109,No,No,No,No,Yes
10457,181000,San Fermín,89,3,1,No,Yes,No,2,183730,2730,No,No,No,No,Yes
6503,122900,San Andrés,67,3,1,No,Yes,No,1,125339,2439,No,Yes,No,No,Yes
7893,155000,Quintana,69,2,1,No,Yes,No,3,157349,2349,No,No,No,No,Yes
5745,119000,Pueblo Nuevo,45,1,1,No,Yes,No,0,120491,1491,No,No,No,No,Yes
4041,590000,Almagro,81,2,2,No,Yes,No,4,591122,1122,No,No,No,No,Yes
8012,280000,Pueblo Nuevo,80,2,1,No,Yes,No,4,280732,732,No,Yes,No,No,Yes
12341,216600,Buenavista,90,3,2,No,Yes,No,1,217328,728,Yes,No,No,No,No
1277,255000,Universidad,63,2,1,No,Yes,No,3,255688,688,No,No,No,No,No
8628,137000,Pavones,65,2,1,No,Yes,No,3,137469,469,No,No,No,No,Yes
